215,apricot,杏,"apricot, tree, wood, mouth"
216,paulownia,桐,"paulownia, tree, wood, same, monks, hood, one, mouth"
217,plant,植,"plant, tree, wood, straightaway, ten, needle, eye, fishhook"
219,wither,枯,"wither, tree, wood, old, tombstone, gravestone, church, ten, needle, mouth"
220,crude,朴,"crude, tree, wood, magic wand, augury"
221,town,村,"town, tree, wood, measure, glue"
222,inter-,相,"inter-, tree, wood, eye"
223,desk,机,"desk, tree, wood, wind"
224,book,本,"book, tree, wood, one"
225,tag,札,"tag, tree, wood, fishhook"
226,calendar,暦,"calendar, cliff, grove, tree, wood, sun, day, tree2, wood2"
227,plan,案,"plan, relax, house, woman, tree, wood"
228,parch,燥,"parch, fire, furniture, wooden goods, mouth, tree, wood, mouth3"
229,not yet,未,"not yet, tree, wood, one"
230,extremity,末,"extremity, tree, wood, one"
232,splash,沫,"splash, water, water droplets, water pistol, extremity, one, tree, wood"
233,flavor,味,"flavor, mouth, not yet, one, tree, wood"
234,younger sister,妹,"younger sister, woman, not yet, one, tree, wood"
235,vermilion,朱,"vermillion, drop, not yet, one, tree, wood"
236,stocks,株,"stocks, tree, wood, vermillion, drop, not yet, one, tree, wood"
237,young,若,"young, flowers, right, by one’s side, mouth"
238,grass,草,"grass, flowers, sunflower, early, sun, day, ten, needle"
239,suffering,苦,"suffering, flowers, old, tombstone, gravestone, church, ten, needle, mouth"
241,tolerant,寛,"tolerant, house, flowers, look, see, telescope, eye, human legs"
242,dilute,薄,"dilute, flowers, water, water droplets, water pistol, acupuncturist, specialty, drop, ten, needle, rice field, brains, glue"
243,leaf,葉,"leaf, flowers, Tarzan, generation, tree, wood"
244,imitation,模,"imitation, tree, wood, graveyard, flowers, sun, day, large, St. Bernard"
245,vague,漠,"vague, water, water droplets, water pistol, graveyard, flowers, sun, day, large, St. Bernard"
246,grave,墓,"grave, graveyard, flowers, sun, day, large, St. Bernard, soil, dirt, ground"
247,livelihood,暮,"livelihood, graveyard, flowers, sun, day, large, St. Bernard, sun2, day2"
248,membrane,膜,"membrane, moon, month, flesh, part of the body, graveyard, flowers, sun, day, large, St. Bernard"
249,seedling,苗,"seedling, flowers, rice field, brains"
250,portent,兆,"portent, turtle, portent"
251,peach tree,桃,"peach tree, tree, wood, portent, turtle"
252,stare,眺,"stare, eye, portent, turtle"
253,dog,犬,"dog, large, St. Bernard, drop"
254,status quo,状,"status quo, turtle, chihuahua, dog, large, drop"
255,silence,黙,"silence, black, computer, chihuahua, dog, large, drop, oven-fire, barbecue"
256,sort of thing,然,"sort of thing, moon, crescent moon, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, barbecue"
257,reed,荻,"reed, flowers, pack of wild dogs, fire"
258,hunt,狩,"hunt, pack of wild dogs, guard, house, glue"
259,cat,猫,"cat, pack of wild dogs, seedlings, flowers, rice field, brains"
260,cow,牛,cow
261,special,特,"special, cow, Buddhist temple, soil, dirt, ground, glue"
262,revelation,告,"revelation, cow, mouth"
263,before,先,"before, cow, human legs"
264,wash,洗,"wash, water, water droplets, water pistol, before, cow, human legs"
265,jammed in,介,"jammed in, umbrella, stick, walking cane"
266,world,界,"world, rice field, brains, jammed in, umbrella, stick, cane"
267,tea,茶,"tea, flowers, umbrella, wooden pole"
269,fit,合,"fit, meeting, umbrella, one, mouth"
270,pagoda,塔,"pagoda, soil, dirt, ground, flowers, fit, meeting, umbrella, one, mouth"
271,king,王,"king, jewel, ball"
272,jewel,玉,"jewel, king, jewel, ball, earring, drop"
273,treasure,宝,"treasure, house, king, jewel, ball, earring, drop"
274,pearl,珠,"pearl, king, jewel, ball, vermillion, drop, not yet, one, tree, wood"
275,present,現,"present, king, jewel, ball, see, telescope, eye, human legs"
277,lunatic,狂,"lunatic, pack of wild dogs, king, jewel, ball"
279,emperor,皇,"emperor, white, dove, king, jewel, ball"
280,display,呈,"display, mouth, king, jewel, ball"
281,whole,全,"whole, umbrella, king, jewel, ball"
282,plug,栓,"plug, tree, wood, whole, umbrella, king, jewel, ball"
283,logic,理,"logic, king, jewel, ball, computer"
284,lord,主,"lord, drop, king, jewel, ball"
285,pour,注,"pour, water, water droplets, water pistol, candlestick, lord, drop, king, jewel, ball"
286,pillar,柱,"pillar, tree, wood, candlestick, lord, drop, king, jewel, ball"
